,012025_COL_SAN_T5_568_OFAV_S1,012025_COL_SAN_T5_569_DLAB_S2,012025_COL_SAN_T5_570_DLAB_S3,012025_COL_SAN_T5_571_DLAB_S4,012025_COL_SAN_T5_572_OFAV_S5,012025_COL_SAN_T5_573_PSTR_S6,012025_COL_SAN_T5_574_MCAV_S7,012025_COL_SAN_T5_575_DLAB_S8,012025_COL_SAN_T5_576_PSTR_S9,012025_COL_SAN_T5_577_PSTR_S10,012025_COL_SAN_T5_578_MCAV_S11,012025_COL_SAN_T5_579_DLAB_S12,012025_COL_SAN_T5_580_OFAV_S13,012025_COL_SAN_T5_581_MCAV_S14,012025_COL_SAN_T5_582_PSTR_S15,012025_COL_SAN_T5_583_MCAV_S16,012025_COL_SAN_T5_584_OFAV_S17,012025_COL_SAN_T5_585_OFAV_S18,012025_COL_SAN_T5_586_DLAB_S19,012025_COL_SAN_T5_587_PSTR_S20,012025_COL_SAN_T5_588_MCAV_S21,012025_COL_SAN_T5_589_MCAV_S22,012025_COL_SAN_T5_590_PSTR_S23,012025_COL_SAN_T5_591_MCAV_S24,012025_COL_SAN_T5_592_PSTR_S25,012025_COL_SAN_T5_593_MCAV_S26,012025_COL_SAN_T5_594_MCAV_S27,012025_COL_SAN_T5_595_MCAV_S28,012025_COL_SAN_T5_596_OFAV_S29,032024_COL_SAN_T5_128_MCAV_S1,032024_COL_SAN_T5_129_MCAV_S2,032024_COL_SAN_T5_130_MCAV_S37,032024_COL_SAN_T5_131_MCAV_S3,032024_COL_SAN_T5_132_MCAV_S4,032024_COL_SAN_T5_133_MCAV_S5,032024_COL_SAN_T5_134_MCAV_S6,032024_COL_SAN_T5_136_MCAV_S7,032024_COL_SAN_T5_139_OFAV_S17,032024_COL_SAN_T5_140_OFAV_S18c,032024_COL_SAN_T5_141_OFAV_S19,032024_COL_SAN_T5_143_DLAB_S40,032024_COL_SAN_T5_144_PSTR_S9,032024_COL_SAN_T5_146_DLAB_S12,032024_COL_SAN_T5_147_PSTR_S10,032024_COL_SAN_T5_148_DLAB_S13,032024_COL_SAN_T5_149_DLAB_S14,032024_COL_SAN_T5_150_MCAV_S8,032024_COL_SAN_T5_154_PSTR_S38,032024_COL_SAN_T5_158_DLAB_S15,032024_COL_SAN_T5_159_DLAB_S16,032024_COL_SAN_T5_160_DLAB_S41,032024_COL_SAN_T5_161_DLAB_S42,032024_COL_SAN_T5_162_PSTR_S39,032024_COL_SAN_T5_163_PSTR_S11c,032024_COL_SAN_T5_166_OFAV_S20,032024_COL_SAN_T5_167_OFAV_S21,Sum
72276,258.3357307671984,1118.2968128540833,688.6887366454271,585.080129828954,600.1972076539435,691.2644721822098,787.5221490604423,2045.2137837702928,207.91797208772428,723.1251158367438,1010.5673987472449,928.9338047289169,507.3489495339999,811.5820614184361,220.3904523965655,692.8181108508978,358.2966226138032,489.2493884382645,1132.6166184086735,243.46696964778445,1307.6638170177707,748.7493417588204,700.2825317517085,1501.9586352473157,542.501485420734,882.347750895583,1043.1491784189416,1187.4213034538818,361.0542784932002,464.94808079764425,875.357105910252,852.7303161418691,858.3690987124463,431.37700079464184,318.23915383102076,852.3332623055614,970.252927297184,711.9741100323624,295.51540298651486,591.9129887906478,1111.2203926197021,142.21450438245222,313.68385493328185,944.6257966543507,467.84355311583806,368.6201520407053,2009.3176804529257,408.94028061764084,622.0730290261622,283.55661005179246,460.4480700328465,507.24843795924943,515.7613999566684,386.87021992084044,1177.7703660468605,509.93687808373994,39829.18148342478
1914233,258.3357307671984,1434.7959108316543,326.37857519283284,395.5010933480639,371.5506523572031,790.2834371164183,481.26353553693696,755.6891607829217,313.30105383081747,896.3105427388213,557.5544268950316,632.7786709440543,446.46707558992,637.04828476931,498.5882365692794,683.0601092896175,387.6651982378855,431.31196086004894,575.4423141915036,373.3160201266028,680.2875348647361,691.1532385466035,555.1581912900057,700.2374718382756,420.7154376732222,388.2330103940565,396.2349592444042,773.01923781897,213.35025547325463,439.11763186444176,628.6655578809991,549.5373148469822,400.57224606580826,469.21708858364553,312.4529873977295,451.235256514709,529.2288694348277,210.3559870550162,349.7937423105686,369.9456179941549,543.531713781376,276.9440348500385,235.2628911999614,1123.985125133025,405.464412700393,447.17854509856056,725.0512935223609,419.51632235775224,393.1971032523856,491.88391539596654,350.4624986484824,530.9516359947285,494.6707850885518,423.00644925410575,396.0643708830151,261.85947793489345,28294.18420216412
2726069,258.3357307671984,981.1472037304693,568.9167824462224,539.3196727473598,238.1734951007712,831.3856489759011,831.2733795638002,1264.5660818972929,364.568499003133,732.2401383052743,670.807669858085,551.8418641953962,334.85030669244,479.96788578509654,776.7860207419932,351.288056206089,129.22173274596182,373.3745332818334,753.5554114412547,362.4952659200346,929.7262976484728,501.90889942074773,809.7016773379128,984.3918082364164,538.8109991253548,699.9958823771625,598.3956527364472,940.3739181715306,350.11323975098196,470.11417058428475,1233.4577401462643,1111.7076714145849,324.272770624702,332.9927725432323,422.390149630264,564.0440706433862,826.9201084919182,388.3495145631068,174.8968711552843,406.94017979357034,747.1404192613835,276.9440348500385,681.659146297324,869.8927431215698,628.9896658557379,495.5221715957023,964.1639541520757,500.5993090319397,516.4379863613423,503.45765458175407,596.5319125931615,493.02651913796217,611.6278311753799,454.8913574893398,531.560076711415,413.46233358141075,33289.52688959877
3079743,258.3357307671984,58.0248346292213,38.92588511474153,0.0,376.31412225921855,31.760800073236666,218.7561525167895,19.412198625616337,85.44574195385931,36.460089874121536,130.67681880352305,250.1683117685796,187.71911132758,200.71384314649495,41.54901971410661,253.70804059328648,240.8223201174743,186.6872666409167,132.4430723139175,56.808959584483034,0.0,172.78830963665087,58.74080447259396,162.37390651322332,62.738267021445424,288.23359862589047,234.50640445076982,175.3239508455396,300.8785654110001,619.930774396859,127.3246699505821,120.01389634589268,247.97329518359564,340.56079010103304,804.2771342274889,162.94606485253382,176.40962314494257,307.4433656957929,265.36077002870724,0.0,117.3338302766145,74.84973914865907,96.51810921024057,44.83983211966854,119.56001912960306,0.0,53.99318143251624,49.354861453853204,105.63504266482002,69.44243511472469,89.47978688897423,178.95914516786607,78.6104735993435,74.39811921554623,239.723171850246,220.51324457675238,9045.767502578336
3457296,252.464464158853,0.0,98.81186221434389,75.1778937769047,80.97898833426221,59.785035431974904,0.0,77.64879450246535,113.92765593847906,115.45695126805154,0.0,235.45252872336903,167.42515334622,113.44695482193191,142.7118503223662,156.12802498048399,111.60058737151249,77.2499034376207,182.68009974333444,146.08018178867067,75.58750387385956,82.28014744602423,152.03502334083143,0.0,188.21480106433626,94.11709342886219,113.20998835554406,167.3546803525605,175.05661987549098,103.32179573280985,0.0,101.06433376496226,0.0,136.2243160404132,133.08182796569963,0.0,110.25601446558909,177.9935275080906,108.5566786481075,184.97280899707744,82.8238801952573,142.21450438245222,150.8095456410009,137.50881850031686,161.1461127398998,157.11678611571048,104.12970704842417,190.3687513220052,170.1897909599878,121.52426145076821,126.76303142604682,131.55274909690814,97.78375984308583,140.29359623503004,239.723171850246,206.73116679070537,6671.033724618947
1969992,252.464464158853,0.0,74.85747137450295,0.0,171.48491647255528,117.7017885067006,0.0,55.46342464461811,0.0,97.22690633099077,0.0,73.57891522605283,192.79260082291998,0.0,97.5498723722503,204.91803278688525,223.20117474302498,141.6248229689713,59.371032416583695,43.28301682627279,0.0,82.28014744602423,94.44599934809224,0.0,55.35729443068713,511.76169551943815,0.0,0.0,54.70519371109093,1224.3632794337966,0.0,0.0,0.0,552.4652817194535,1492.830939789152,0.0,0.0,258.8996763754045,192.9896509299689,0.0,134.5888053172931,0.0,0.0,92.66898638064833,109.16349572702889,169.2026927399959,42.42321398269133,102.23507015441021,99.76642918344113,75.22930470761841,76.43065130099882,67.554114401115,157.220947198687,36.13622933326531,0.0,192.94908900465833,7681.186627786141
33184,252.464464158853,152.97456402249253,80.84606908446318,98.05812231770177,395.3680018672802,250.3498358713949,273.44519064598694,289.7963937681296,578.1828538877812,680.5883443169354,409.4540322510389,185.78676094578336,334.85030669244,322.88748680088315,632.2676913016224,292.74004683840747,70.48458149779735,193.12475859405174,296.85516208291847,568.0895958448305,294.79126510805236,197.47235387045814,517.1494354547979,213.11575229860563,494.52516358080504,347.0567820189293,242.59283219045156,374.5557131700164,235.232332957691,129.1522446660123,302.3960911326325,378.99125161860843,0.0,295.15268475422863,266.16365593139926,538.975445281458,308.7168405036495,0.0,126.64945842279208,258.9619325959084,403.76641595187937,568.8580175298089,573.0762734358034,678.5761260776507,899.2992743226665,676.8107709599836,161.9795442975487,592.2583374462386,657.2847099144356,891.1779173056335,480.9538545282365,362.6589299428279,358.54045275798137,631.3211830576352,291.83690486116905,165.38493343256428,20274.049144169352
1853231,246.59319755050757,390.34888750567063,119.77195419920471,192.84764055814685,290.57166402294087,164.408847437931,721.8953033054055,252.35858213301236,447.16604955853035,288.6423781701289,435.5893960117435,156.35519485536224,314.55634871108,637.04828476931,370.3282191909503,351.288056206089,328.928046989721,547.18681601648,342.5251870187521,376.0212086782449,453.5250232431574,633.5571353343864,423.85521658656035,517.5668270108994,287.8579310395731,405.8799654119682,646.9142191745374,653.480180424284,568.9340145953456,315.13147698507,342.1850504921894,473.7390645232606,667.6204101096805,726.5296855488705,705.912304861537,614.1813213672428,871.0225142781538,307.4433656957929,319.639109352761,462.43202249269353,384.78594340713283,553.888069700077,374.0076731896822,355.7293348160371,499.03312332356063,362.5771987285626,312.3891211452725,313.75590495663823,563.3868942123734,486.09704580307283,288.9451451623126,240.5874600601113,224.32744905178512,527.1638161558704,541.9828233135996,344.55194465117563,23745.047049094435
2842329,246.59319755050757,84.39975946068553,0.0,32.68604077256726,157.194506766509,89.67755314796236,0.0,27.731712322309054,287.66733124465964,109.38026962236462,0.0,31.27103897107245,96.39630041145999,218.16722081140753,131.8729756143384,195.160031225605,276.06461086637296,205.99974250032187,0.0,121.73348482389223,0.0,0.0,109.41914558620444,0.0,125.47653404289085,323.52750866171374,0.0,0.0,125.82194553550913,87.82352637288837,0.0,101.06433376496226,400.57224606580826,113.52026336701101,63.64783076620416,0.0,143.33281880526584,210.3559870550162,162.83501797216124,462.43202249269353,110.43184026034307,247.0041391905749,331.78100041020195,167.40203991342923,114.36175742831597,102.73020630642607,42.42321398269133,179.79270958189383,176.0584044413667,121.52426145076821,55.92486680560889,67.554114401115,141.88231820369316,204.06341270549822,250.1459184524306,0.0,7054.905160134723
2844403,240.72193094216215,749.0478652135841,194.62942557370766,205.92205686717375,1429.040970604627,429.70494216731964,481.26353553693696,25235.85821330124,250.64084306465395,440.55941931230194,8450.434282627824,2954.193446326021,106.54327940214,331.61417563333947,195.0997447445006,253.70804059328648,0.0,70.81241148448565,223.78312218558472,183.95282151165938,15427.409540654739,148.10426540284362,502.17628921668563,466.8249812255171,298.9293899257105,1417.6387197722365,363.88924828567735,1490.2535821870865,979.2229674285276,640.595133543421,2848.889490144275,296.87648043457665,324.272770624702,0.0,0.0,2732.4801644501827,2050.761869059957,161.81229773462783,205.05150411309194,721.393955088602,940.3961397169838,97.3046608932568,947.0839466254856,986.476306632708,2656.311729357703,163.1597394278532,11315.428165928759,200.94479306211662,193.66424488550336,167.819218193918,1004.7834402741064,1453.0060395748594,425.6469546110795,2363.7345305053545,2793.296089385475,854.4888227349155,100067.65799819505
3024551,240.72193094216215,79.12477449439268,56.891678244622234,68.64068562239125,133.37715725643187,276.5057888728839,251.56957539430798,180.25613009500884,623.7539162631729,194.45381266198154,479.14833561291783,47.82629489693433,228.3070272903,104.72026598947562,363.1023027189317,341.53005464480873,182.08516886930983,186.6872666409167,141.5770773010842,302.98111778390955,181.41000929726297,0.0,316.7396319600655,456.67661206844065,343.2152254702602,88.2347750895583,412.4078147237676,478.15622957874433,191.46817798881827,98.15570594616935,206.90258866969594,164.22954236806365,0.0,0.0,0.0,125.34312680964138,352.81924628988514,372.168284789644,205.05150411309194,203.47008989678517,402.04091844781146,434.1284870622226,518.7848370050431,397.57984479439443,207.9304680514836,205.46041261285214,269.9659071625812,669.815976873722,223.0073122923978,190.9666965654929,199.46535827333835,130.36758919513423,398.8043538698402,561.1743849401201,302.25965146335363,261.85947793489345,14053.32060320052
2931039,240.72193094216215,189.89945878654245,182.6522301537872,120.93835085849885,304.8620737289871,201.7744945829153,612.5172270470107,167.77685954996977,418.68413557391057,212.6838575990423,357.1833047296297,204.18148975229659,400.80567013186,863.9421944131739,326.972720358839,478.14207650273227,387.6651982378855,418.4369769537788,616.5453366337538,292.16036357734134,287.23251472066636,789.8894154818325,334.0163391578872,507.41845785382293,361.66765694715593,523.5263321980459,663.0870746539009,510.0333115506606,262.58492981323644,227.30795061218163,453.5941366989488,505.3216688248113,782.06962327134,718.9616679910697,306.6668209644382,413.63231847181663,705.6384925797703,485.43689320388347,307.5772561696379,406.94017979357034,383.06044590306504,441.6134609770885,428.29910962044255,301.9215362724349,556.2140020377186,580.1235179657001,254.539283896148,296.1291687231193,451.8832380661745,393.5071323167732,264.71103621321544,279.6977368186516,325.9458661436194,363.4879538816687,270.9914116567998,358.33402243722264,22501.607914002638
2024974,240.72193094216215,168.79951892137106,1299.5257030613711,1611.4218100875657,295.33513392495627,242.87670644239807,448.45011265941855,70.71586642188808,637.9948732554828,537.7863256432927,383.3186684903343,161.87361349731623,258.74796426233996,907.5756385754553,471.4910497992098,839.1881342701015,164.4640234948605,270.3746620316725,237.48412966633478,538.3325217767679,718.0812868016659,625.3291205897841,581.6491423266657,781.4244250948872,638.4541291005916,488.2324221622226,614.5685082158107,780.9885083119491,361.0542784932002,692.2560314098259,501.34088793041707,1294.886776363579,648.545541249404,658.4175275286639,358.7423188640598,852.3332623055614,540.2544708813866,226.53721682847896,162.83501797216124,332.95105619473935,509.0217637000188,1369.750226420461,1158.217310522887,564.9818847078237,800.5323019982118,1232.7624756771131,219.82938154667323,401.88958612423323,1924.905221892276,1076.3577442782325,497.7313145699191,444.4349631652303,285.6819650317605,652.5777885477912,270.9914116567998,234.2953223627994,33289.3209780516
1892251,240.72193094216215,269.0242332809351,191.63512671872755,127.4755590130123,476.3469902015424,196.16964751116765,382.8232669043817,83.19513696692715,336.0865850185133,440.55941931230194,801.484488661608,489.29978625325134,1303.88680030238,244.34728730877643,251.10059740264433,1122.1701795472286,199.70631424375918,321.8745976567529,369.9272019802523,400.3679056430233,98.26375503601744,567.7330173775671,277.57909564500284,629.1988877387404,413.3344650824639,2529.3968859006714,307.2842541079053,302.83227873320476,229.7618135865819,5305.574210879786,246.69154802925283,195.81214666961438,610.3958035288508,2822.870549059674,7307.928205246896,413.63231847181663,352.81924628988514,339.80582524271847,217.113357296215,203.47008989678517,2441.5789682560226,381.73366965816126,488.62292787684294,421.4944219248843,384.6713658952446,284.01880567070737,443.5154189099548,391.3135443841218,281.6934471061867,266.1960012731113,12430.233728660003,2692.6832968304084,264.591350163644,960.7985681550541,302.25965146335363,261.85947793489345,54316.96545285159
5268,240.72193094216215,374.5239326067921,203.612322138648,228.8022854079708,295.33513392495627,254.08640058589333,689.0818804278871,135.88539037931434,375.96126459698087,404.0993294381804,400.742244330804,217.05779991685583,202.9395798136,287.98073147105794,567.2344430534555,439.11007025761126,223.20117474302498,270.3746620316725,1054.9775760177565,416.5990369528756,370.37876898191195,682.925223802001,794.7285310998006,436.3798737542877,313.6913351072271,458.8208304657031,396.2349592444042,478.15622957874433,262.58492981323644,335.795836131632,437.678552955126,600.0694817294634,743.919885550787,484.353123699247,312.4529873977295,639.2499467291711,705.6384925797703,161.81229773462783,289.48447639495333,0.0,353.7269883339114,381.73366965816126,651.4972371691239,409.53713335963937,613.3948807518766,797.6698372028377,231.39934899649816,391.3135443841218,522.3065998427211,370.3596539451984,531.2862346532845,285.6235363275213,306.7725798998771,412.3781465090277,270.9914116567998,179.16701121861132,22895.84076569654
