taxonomy_id,name,taxonomy_lvl
1282,Staphylococcus epidermidis,S
1160,Planktothrix agardhii,S
69781,Penicillium oxalicum,S
61652,Serratia rubidaea,S
292566,Dactylococcopsis salina,S
2956125,Lipsvirus ssm7,S
1463165,Klebsiella quasipneumoniae,S
2067065,Aquella oligotrophica,S
1493872,Chryseobacterium shandongense,S
54910,Brevibacillus centrosporus,S
201828,Staphylococcus casei,S
418240,Blautia wexlerae,S
2770788,Clostridioides sp. ES-W-0016-02,S
148305,Pyricularia grisea,S
2584122,Aureibaculum algae,S
199441,Halalkalibacter krulwichiae,S
41170,Exiguobacterium acetylicum,S
184755,Vibrio ruber,S
1076,Rhodopseudomonas palustris,S
1357545,Richelia sinica,S
1042133,Fusarium musae,S
145971,Colletotrichum lupini,S
47877,Pseudomonas amygdali,S
86668,Neobacillus niacini,S
78579,Thermothelomyces thermophilus,S
181762,Psilocybe cubensis,S
358,Agrobacterium tumefaciens,S
1871076,Flavobacterium azooxidireducens,S
28188,Capnocytophaga canimorsus,S
336810,Candidatus Karelsulcia muelleri,S
999,Bernardetia litoralis,S
1501,Clostridium pasteurianum,S
2915619,Flagellimonas aurea,S
2763021,Bacteroides difficilis,S
2886936,Arthrobacter zhangbolii,S
563177,Acidianus hospitalis,S
373891,Flammeovirga kamogawensis,S
2027860,Mucilaginibacter rubeus,S
258,Sphingobacterium spiritivorum,S
2321133,Halarcobacter sp.,S
412690,Microterricola viridarii,S
5476,Candida albicans,S
1651941,Kwoniella newhampshirensis,S
74109,Photobacterium profundum,S
727,Haemophilus influenzae,S
779,Ehrlichia ruminantium,S
754423,Tenacibaculum sp. SZ-18,S
227942,Limosilactobacillus gastricus,S
379064,Cyanobacterium aponinum,S
1892382,Endozoicomonas sp.,S
1419277,Bradyrhizobium brasilense,S
28450,Burkholderia pseudomallei,S
28035,Staphylococcus lugdunensis,S
704125,Clostridium gelidum,S
208226,Alkaliphilus metalliredigens,S
2761500,Porcisia hertigi,S
208224,Enterobacter kobei,S
553611,Photobacterium leiognathi,S
2864201,Aureispira anguillae,S
3028315,Pullulanibacillus sp. KACC 23026,S
272131,Nostoc punctiforme,S
36050,Fusarium poae,S
2799564,Pseudoalteromonas sp. LC2018020214,S
1717717,Labilibaculum antarcticum,S
5854,Plasmodium reichenowi,S
208452,Plasmodium coatneyi,S
107401,Tenacibaculum maritimum,S
143232,Vanrija pseudolonga,S
35703,Citrobacter amalonaticus,S
729,Haemophilus parainfluenzae,S
2201181,Flavobacterium sediminis,S
367791,Flammeovirga yaeyamensis,S
5208,Cryptococcus depauperatus,S
2520507,Shewanella maritima,S
347,Xanthomonas oryzae,S
3234028,Sphingobacterium sp. WOUb80,S
3133300,Sorangium sp. So ce321,S
3414495,Bacillus sp. PM5,S
28031,Lysinibacillus fusiformis,S
129985,Mesobacillus jeotgali,S
