"","Item","Cluster"
"GLYCINE--TRNA-LIGASE-RXN: (expasy) Glycine--tRNA ligase [6.1.1.14]","GLYCINE--TRNA-LIGASE-RXN: (expasy) Glycine--tRNA ligase [6.1.1.14]",3
"TRANS-RXN0-277: (expasy) Proton-translocating NAD(P)(+) transhydrogenase [7.1.1.1]","TRANS-RXN0-277: (expasy) Proton-translocating NAD(P)(+) transhydrogenase [7.1.1.1]",3
"2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50]","2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50]",3
"D-ALANINE-AMINOTRANSFERASE-RXN: (expasy) D-amino-acid transaminase [2.6.1.21]","D-ALANINE-AMINOTRANSFERASE-RXN: (expasy) D-amino-acid transaminase [2.6.1.21]",3
"2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]","2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]",3
"UREA-CARBOXYLASE-RXN: (expasy) Urea carboxylase [6.3.4.6]","UREA-CARBOXYLASE-RXN: (expasy) Urea carboxylase [6.3.4.6]",3
"DGTPTRIPHYDRO-RXN: (expasy) dGTPase [3.1.5.1]","DGTPTRIPHYDRO-RXN: (expasy) dGTPase [3.1.5.1]",3
"CYTOCHROME-C-OXIDASE-RXN: (expasy) Cytochrome-c oxidase [7.1.1.9]","CYTOCHROME-C-OXIDASE-RXN: (expasy) Cytochrome-c oxidase [7.1.1.9]",3
"GLUTAMATE-SYNTHASE-NADH-RXN: (expasy) Glutamate synthase (NADH) [1.4.1.14]","GLUTAMATE-SYNTHASE-NADH-RXN: (expasy) Glutamate synthase (NADH) [1.4.1.14]",3
"PANTOTHENATE-KIN-RXN: (expasy) Pantothenate kinase [2.7.1.33]","PANTOTHENATE-KIN-RXN: (expasy) Pantothenate kinase [2.7.1.33]",3
"1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]","1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]",3
"RXN-11213: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]","RXN-11213: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]",3
"RIBOFLAVIN-SYN-RXN: (expasy) Riboflavin synthase [2.5.1.9]","RIBOFLAVIN-SYN-RXN: (expasy) Riboflavin synthase [2.5.1.9]",3
"TRANS-RXN-370: (expasy) H(+)-exporting diphosphatase [7.1.3.1]","TRANS-RXN-370: (expasy) H(+)-exporting diphosphatase [7.1.3.1]",3
"3.4.21.107-RXN: (expasy) Peptidase Do [3.4.21.107]","3.4.21.107-RXN: (expasy) Peptidase Do [3.4.21.107]",3
"RXN-15878: (expasy) (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) [1.17.7.3]","RXN-15878: (expasy) (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) [1.17.7.3]",3
"RXN-13908: (expasy) 4a-hydroxytetrahydrobiopterin dehydratase [4.2.1.96]","RXN-13908: (expasy) 4a-hydroxytetrahydrobiopterin dehydratase [4.2.1.96]",3
"RXN-14206: (expasy) 4a-hydroxytetrahydrobiopterin dehydratase [4.2.1.96]","RXN-14206: (expasy) 4a-hydroxytetrahydrobiopterin dehydratase [4.2.1.96]",3
"UDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","UDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"RXN-14228: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","RXN-14228: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"RXN-14120: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","RXN-14120: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"NUCLEOSIDE-DIP-KIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","NUCLEOSIDE-DIP-KIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"GDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","GDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"DUDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","DUDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"DTDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","DTDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"DGDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","DGDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"DCDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","DCDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"CDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","CDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"DADPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]","DADPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6]",3
"ACETYL-COA-CARBOXYLTRANSFER-RXN: (expasy) Acetyl-CoA carboxylase [6.4.1.2]","ACETYL-COA-CARBOXYLTRANSFER-RXN: (expasy) Acetyl-CoA carboxylase [6.4.1.2]",3
"LYSINE--TRNA-LIGASE-RXN: (expasy) Lysine--tRNA ligase [6.1.1.6]","LYSINE--TRNA-LIGASE-RXN: (expasy) Lysine--tRNA ligase [6.1.1.6]",3
"METHIONINE--TRNA-LIGASE-RXN: (expasy) Methionine--tRNA ligase [6.1.1.10]","METHIONINE--TRNA-LIGASE-RXN: (expasy) Methionine--tRNA ligase [6.1.1.10]",3
"RXN-16165: (expasy) Methionine--tRNA ligase [6.1.1.10]","RXN-16165: (expasy) Methionine--tRNA ligase [6.1.1.10]",3
"RXN-14047: (expasy) Aconitate hydratase [4.2.1.3]","RXN-14047: (expasy) Aconitate hydratase [4.2.1.3]",3
"DXS-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate synthase [2.2.1.7]","DXS-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate synthase [2.2.1.7]",3
"IMIDPHOSDEHYD-RXN: (expasy) Imidazoleglycerol-phosphate dehydratase [4.2.1.19]","IMIDPHOSDEHYD-RXN: (expasy) Imidazoleglycerol-phosphate dehydratase [4.2.1.19]",3
"DNA-DIRECTED-RNA-POLYMERASE-RXN: (expasy) DNA-directed RNA polymerase [2.7.7.6]","DNA-DIRECTED-RNA-POLYMERASE-RXN: (expasy) DNA-directed RNA polymerase [2.7.7.6]",3
"MALATE-DEH-RXN: (expasy) Malate dehydrogenase [1.1.1.37]","MALATE-DEH-RXN: (expasy) Malate dehydrogenase [1.1.1.37]",3
"6.3.5.7-RXN: (expasy) Glutaminyl-tRNA synthase (glutamine-hydrolyzing) [6.3.5.7]","6.3.5.7-RXN: (expasy) Glutaminyl-tRNA synthase (glutamine-hydrolyzing) [6.3.5.7]",3
"RXN-12458: (expasy) tRNA (guanine(37)-N(1))-methyltransferase [2.1.1.228]","RXN-12458: (expasy) tRNA (guanine(37)-N(1))-methyltransferase [2.1.1.228]",3
"RXN-14517: (expasy) tRNA (guanine(37)-N(1))-methyltransferase [2.1.1.228]","RXN-14517: (expasy) tRNA (guanine(37)-N(1))-methyltransferase [2.1.1.228]",3
"CTPSYN-RXN: (expasy) CTP synthase (glutamine hydrolyzing) [6.3.4.2]","CTPSYN-RXN: (expasy) CTP synthase (glutamine hydrolyzing) [6.3.4.2]",3
"THREONINE--TRNA-LIGASE-RXN: (expasy) Threonine--tRNA ligase [6.1.1.3]","THREONINE--TRNA-LIGASE-RXN: (expasy) Threonine--tRNA ligase [6.1.1.3]",3
"THYMIDYLATESYN-RXN: (expasy) Thymidylate synthase [2.1.1.45]","THYMIDYLATESYN-RXN: (expasy) Thymidylate synthase [2.1.1.45]",3
"GLYOHMETRANS-RXN: (expasy) Glycine hydroxymethyltransferase [2.1.2.1]","GLYOHMETRANS-RXN: (expasy) Glycine hydroxymethyltransferase [2.1.2.1]",3
"RXN-14570: (expasy) N(6)-L-threonylcarbamoyladenine synthase [2.3.1.234]","RXN-14570: (expasy) N(6)-L-threonylcarbamoyladenine synthase [2.3.1.234]",3
"NAD-SYNTH-GLN-RXN: (expasy) NAD(+) synthase (glutamine-hydrolyzing) [6.3.5.1]","NAD-SYNTH-GLN-RXN: (expasy) NAD(+) synthase (glutamine-hydrolyzing) [6.3.5.1]",3
"ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]","ADENOSYLHOMOCYSTEINASE-RXN: (expasy) Adenosylhomocysteinase [3.3.1.1]",3
"RXN-18448: (expasy) Acetate--CoA ligase [6.2.1.1]","RXN-18448: (expasy) Acetate--CoA ligase [6.2.1.1]",3
"RXN-18447: (expasy) Acetate--CoA ligase [6.2.1.1]","RXN-18447: (expasy) Acetate--CoA ligase [6.2.1.1]",3
"ACETATE--COA-LIGASE-RXN: (expasy) Acetate--CoA ligase [6.2.1.1]","ACETATE--COA-LIGASE-RXN: (expasy) Acetate--CoA ligase [6.2.1.1]",3
"RXN-18446: (expasy) Acetate--CoA ligase [6.2.1.1]","RXN-18446: (expasy) Acetate--CoA ligase [6.2.1.1]",3
"INORGPYROPHOSPHAT-RXN: (expasy) Inorganic diphosphatase [3.6.1.1]","INORGPYROPHOSPHAT-RXN: (expasy) Inorganic diphosphatase [3.6.1.1]",3
"GAPOXNPHOSPHN-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [1.2.1.12]","GAPOXNPHOSPHN-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [1.2.1.12]",3
"RXN1YI0-11: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [1.2.1.12]","RXN1YI0-11: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [1.2.1.12]",3
"2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]","2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13]",3
"3.4.21.53-RXN: (expasy) Endopeptidase La [3.4.21.53]","3.4.21.53-RXN: (expasy) Endopeptidase La [3.4.21.53]",3
"CHORISMATE-SYNTHASE-RXN: (expasy) Chorismate synthase [4.2.3.5]","CHORISMATE-SYNTHASE-RXN: (expasy) Chorismate synthase [4.2.3.5]",3
"RXN-14014: (expasy) 4-hydroxy-tetrahydrodipicolinate reductase [1.17.1.8]","RXN-14014: (expasy) 4-hydroxy-tetrahydrodipicolinate reductase [1.17.1.8]",3
"ARGSUCCINSYN-RXN: (expasy) Argininosuccinate synthase [6.3.4.5]","ARGSUCCINSYN-RXN: (expasy) Argininosuccinate synthase [6.3.4.5]",3
"RXN-10: (expasy) Argininosuccinate synthase [6.3.4.5]","RXN-10: (expasy) Argininosuccinate synthase [6.3.4.5]",3
"PRTRANS-RXN: (expasy) Anthranilate phosphoribosyltransferase [2.4.2.18]","PRTRANS-RXN: (expasy) Anthranilate phosphoribosyltransferase [2.4.2.18]",3
"TRYPTOPHAN--TRNA-LIGASE-RXN: (expasy) Tryptophan--tRNA ligase [6.1.1.2]","TRYPTOPHAN--TRNA-LIGASE-RXN: (expasy) Tryptophan--tRNA ligase [6.1.1.2]",3
"PDXJ-RXN: (expasy) Pyridoxine 5'-phosphate synthase [2.6.99.2]","PDXJ-RXN: (expasy) Pyridoxine 5'-phosphate synthase [2.6.99.2]",3
"RXN-8975: (expasy) Phospho-N-acetylmuramoyl-pentapeptide-transferase [2.7.8.13]","RXN-8975: (expasy) Phospho-N-acetylmuramoyl-pentapeptide-transferase [2.7.8.13]",3
"PHOSNACMURPENTATRANS-RXN: (metacyc) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase [2.7.8.13]","PHOSNACMURPENTATRANS-RXN: (metacyc) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase [2.7.8.13]",3
"RXN-11347: (expasy) Phospho-N-acetylmuramoyl-pentapeptide-transferase [2.7.8.13]","RXN-11347: (expasy) Phospho-N-acetylmuramoyl-pentapeptide-transferase [2.7.8.13]",3
"RXN-11845: (expasy) 23S rRNA (uridine(2552)-2'-O)-methyltransferase [2.1.1.166]","RXN-11845: (expasy) 23S rRNA (uridine(2552)-2'-O)-methyltransferase [2.1.1.166]",3
"ACETYLORNDEACET-RXN: (expasy) Acetylornithine deacetylase [3.5.1.16]","ACETYLORNDEACET-RXN: (expasy) Acetylornithine deacetylase [3.5.1.16]",3
"RXN-7933: (expasy) Acetylornithine deacetylase [3.5.1.16]","RXN-7933: (expasy) Acetylornithine deacetylase [3.5.1.16]",3
"3.1.21.3-RXN: (expasy) Type I site-specific deoxyribonuclease [3.1.21.3]","3.1.21.3-RXN: (expasy) Type I site-specific deoxyribonuclease [3.1.21.3]",3
"PGPPHOSPHA-RXN: (expasy) Phosphatidylglycerophosphatase [3.1.3.27]","PGPPHOSPHA-RXN: (expasy) Phosphatidylglycerophosphatase [3.1.3.27]",3
"RXN-13313: (expasy) Phosphatidylglycerophosphatase [3.1.3.27]","RXN-13313: (expasy) Phosphatidylglycerophosphatase [3.1.3.27]",3
"RIBULP3EPIM-RXN: (expasy) Ribulose-phosphate 3-epimerase [5.1.3.1]","RIBULP3EPIM-RXN: (expasy) Ribulose-phosphate 3-epimerase [5.1.3.1]",3
"CARBPSYN-RXN: (expasy) Carbamoyl-phosphate synthase (glutamine-hydrolyzing) [6.3.5.5]","CARBPSYN-RXN: (expasy) Carbamoyl-phosphate synthase (glutamine-hydrolyzing) [6.3.5.5]",3
"PORPHOBILSYNTH-RXN: (expasy) Porphobilinogen synthase [4.2.1.24]","PORPHOBILSYNTH-RXN: (expasy) Porphobilinogen synthase [4.2.1.24]",3
"ASPCARBTRANS-RXN: (expasy) Aspartate carbamoyltransferase [2.1.3.2]","ASPCARBTRANS-RXN: (expasy) Aspartate carbamoyltransferase [2.1.3.2]",3
"2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]","2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8]",3
"POLYPHOSPHATE-KINASE-RXN: (expasy) Polyphosphate kinase [2.7.4.1]","POLYPHOSPHATE-KINASE-RXN: (expasy) Polyphosphate kinase [2.7.4.1]",3
"NAD-SYNTH-NH3-RXN: (expasy) NAD(+) synthase [6.3.1.5]","NAD-SYNTH-NH3-RXN: (expasy) NAD(+) synthase [6.3.1.5]",3
"GLUTSEMIALDEHYDROG-RXN: (expasy) Glutamate-5-semialdehyde dehydrogenase [1.2.1.41]","GLUTSEMIALDEHYDROG-RXN: (expasy) Glutamate-5-semialdehyde dehydrogenase [1.2.1.41]",3
"RXN1G-320: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN1G-320: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN0-2144: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN0-2144: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-9655: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-9655: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-9634: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-9634: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-9557: (metacyc) 3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase [4.2.1.59]","RXN-9557: (metacyc) 3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase [4.2.1.59]",3
"RXN-9537: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-9537: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-9533: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-9533: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-9520: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-9520: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21703: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21703: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21698: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21698: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21692: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21692: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21687: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21687: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21682: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21682: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21677: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21677: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21671: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21671: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21666: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21666: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21661: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21661: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21656: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21656: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21651: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21651: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21646: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21646: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21636: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21636: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21632: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21632: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21627: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21627: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21623: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21623: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21619: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21619: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-21615: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-21615: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-16631: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-16631: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-16627: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-16627: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-16623: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-16623: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-16619: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-16619: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-13009: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-13009: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-11481: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-11481: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-11477: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-11477: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-10660: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-10660: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"RXN-10656: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","RXN-10656: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"4.2.1.61-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","4.2.1.61-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"4.2.1.59-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","4.2.1.59-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]","3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59]",3
"4.2.1.58-RXN: (metacyc) (3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase [4.2.1.59]","4.2.1.58-RXN: (metacyc) (3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase [4.2.1.59]",3
"RXN0-4022: (expasy) PreQ(1) synthase [1.7.1.13]","RXN0-4022: (expasy) PreQ(1) synthase [1.7.1.13]",3
"TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN: (expasy) tRNA pseudouridine(38-40) synthase [5.4.99.12]","TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN: (expasy) tRNA pseudouridine(38-40) synthase [5.4.99.12]",3
"XMPXAN-RXN: (expasy) 5'-nucleotidase [3.1.3.5]","XMPXAN-RXN: (expasy) 5'-nucleotidase [3.1.3.5]",3
"RXN-7609: (expasy) 5'-nucleotidase [3.1.3.5]","RXN-7609: (expasy) 5'-nucleotidase [3.1.3.5]",3
"RXN-7607: (expasy) AMBIGUOUS [3.1.3.5; 3.1.3.99]","RXN-7607: (expasy) AMBIGUOUS [3.1.3.5; 3.1.3.99]",3
"RXN-5841: (expasy) 5'-nucleotidase [3.1.3.5]","RXN-5841: (expasy) 5'-nucleotidase [3.1.3.5]",3
"RXN-14227: (expasy) 5'-nucleotidase [3.1.3.5]","RXN-14227: (expasy) 5'-nucleotidase [3.1.3.5]",3
"RXN-14026: (expasy) AMBIGUOUS [3.1.3.5; 3.1.3.91]","RXN-14026: (expasy) AMBIGUOUS [3.1.3.5; 3.1.3.91]",3
"RXN-14025: (expasy) 5'-nucleotidase [3.1.3.5]","RXN-14025: (expasy) 5'-nucleotidase [3.1.3.5]",3
"5-NUCLEOTID-RXN: (expasy) 5'-nucleotidase [3.1.3.5]","5-NUCLEOTID-RXN: (expasy) 5'-nucleotidase [3.1.3.5]",3
"AMP-DEPHOSPHORYLATION-RXN: (expasy) 5'-nucleotidase [3.1.3.5]","AMP-DEPHOSPHORYLATION-RXN: (expasy) 5'-nucleotidase [3.1.3.5]",3
"TRANSALDOL-RXN: (expasy) Transaldolase [2.2.1.2]","TRANSALDOL-RXN: (expasy) Transaldolase [2.2.1.2]",3
"RXN-17878: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17878: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17877: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17877: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17876: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17876: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17875: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17875: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17874: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17874: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"3.4.11.18-RXN: (expasy) Methionyl aminopeptidase [3.4.11.18]","3.4.11.18-RXN: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17873: (expasy) Methionyl aminopeptidase [3.4.11.18]","RXN-17873: (expasy) Methionyl aminopeptidase [3.4.11.18]",3
"RXN-17848: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]","RXN-17848: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]",3
"RXN-17847: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]","RXN-17847: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]",3
"LEUCYLTRANSFERASE-RXN: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]","LEUCYLTRANSFERASE-RXN: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]",3
"RXN-17846: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]","RXN-17846: (expasy) Lysine/arginine leucyltransferase [2.3.2.6]",3
"GLUC1PURIDYLTRANS-RXN: (expasy) AMBIGUOUS [2.7.7.64; 2.7.7.9]","GLUC1PURIDYLTRANS-RXN: (expasy) AMBIGUOUS [2.7.7.64; 2.7.7.9]",3
"RXN0-5260: (metacyc) sn-glycerol 3-phosphate:ubiquinone oxidoreductase [1.1.5.3]","RXN0-5260: (metacyc) sn-glycerol 3-phosphate:ubiquinone oxidoreductase [1.1.5.3]",3
