"","Item","Cluster"
"RXN-17014: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17014: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17013: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17013: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17012: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17012: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17011: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17011: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17010: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17010: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17009: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17009: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-17008: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-17008: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-1623: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-1623: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16118: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16118: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16077: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16077: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16076: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16076: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16067: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16067: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16032: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16032: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-15043: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-15043: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"RXN-16025: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]","RXN-16025: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]",1
"CHORISMATEMUT-RXN: (expasy) Chorismate mutase [5.4.99.5]","CHORISMATEMUT-RXN: (expasy) Chorismate mutase [5.4.99.5]",1
"NAG1P-URIDYLTRANS-RXN: (expasy) UDP-N-acetylglucosamine diphosphorylase [2.7.7.23]","NAG1P-URIDYLTRANS-RXN: (expasy) UDP-N-acetylglucosamine diphosphorylase [2.7.7.23]",1
