"","x"
"105","2.8.3.9-RXN: (expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9]"
"106","23-DIMETHYLMALATE-LYASE-RXN: (expasy) 2,3-dimethylmalate lyase [4.1.3.32]"
"107","25-DIOXOVALERATE-DEHYDROGENASE-RXN: (expasy) 2,5-dioxovalerate dehydrogenase [1.2.1.26]"
"108","3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4]"
"109","3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydratase [4.2.1.55]"
"110","3-HYDROXY-KYNURENINASE-RXN: (expasy) Kynureninase [3.7.1.3]"
"111","3-HYDROXYASPARTATE-ALDOLASE-RXN: (expasy) 3-hydroxy-D-aspartate aldolase [4.1.3.41]"
"112","3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30]"
"113","3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydrogenase [1.1.1.157]"
"114","3-OXOACID-COA-TRANSFERASE-RXN: (expasy) 3-oxoacid CoA-transferase [2.8.3.5]"
"115","3-OXOACYL-ACP-REDUCT-RXN: (expasy) 3-oxoacyl-[acyl-carrier-protein] reductase [1.1.1.100]"
"116","3-OXOACYL-ACP-SYNTH-BASE-RXN: (expasy) AMBIGUOUS [2.3.1.179; 2.3.1.41]"
"117","3-OXOADIPATE-COA-TRANSFERASE-RXN: (expasy) 3-oxoadipate CoA-transferase [2.8.3.6]"
"118","3-OXOADIPATE-ENOL-LACTONASE-RXN: (expasy) 3-oxoadipate enol-lactonase [3.1.1.24]"
"119","3.1.1.23-RXN: (expasy) Acylglycerol lipase [3.1.1.23]"
"120","3.1.11.1-RXN: (expasy) Exodeoxyribonuclease I [3.1.11.1]"
"121","3.1.11.2-RXN: (expasy) Exodeoxyribonuclease III [3.1.11.2]"
"122","3.1.11.3-RXN: (expasy) Exodeoxyribonuclease (lambda-induced) [3.1.11.3]"
"123","3.1.13.1-RXN: (expasy) Exoribonuclease II [3.1.13.1]"
"124","3.1.13.5-RXN: (expasy) Ribonuclease D [3.1.13.5]"
"125","3.1.21.1-RXN: (expasy) Deoxyribonuclease I [3.1.21.1]"
"126","3.1.21.2-RXN: (expasy) Deoxyribonuclease IV [3.1.21.2]"
