"","032024_COL_SAN_T5_139_OFAV_S17","032024_COL_SAN_T5_140_OFAV_S18c","032024_COL_SAN_T5_141_OFAV_S19","032024_COL_SAN_T5_166_OFAV_S20","032024_COL_SAN_T5_167_OFAV_S21","012025_COL_SAN_T5_568_OFAV_S1","012025_COL_SAN_T5_572_OFAV_S5","012025_COL_SAN_T5_580_OFAV_S13","012025_COL_SAN_T5_584_OFAV_S17","012025_COL_SAN_T5_585_OFAV_S18","012025_COL_SAN_T5_596_OFAV_S29","032024_COL_SAN_T5_128_MCAV_S1","032024_COL_SAN_T5_129_MCAV_S2","032024_COL_SAN_T5_130_MCAV_S37","032024_COL_SAN_T5_131_MCAV_S3","032024_COL_SAN_T5_132_MCAV_S4","032024_COL_SAN_T5_133_MCAV_S5","032024_COL_SAN_T5_134_MCAV_S6","032024_COL_SAN_T5_136_MCAV_S7","032024_COL_SAN_T5_150_MCAV_S8","012025_COL_SAN_T5_574_MCAV_S7","012025_COL_SAN_T5_578_MCAV_S11","012025_COL_SAN_T5_581_MCAV_S14","012025_COL_SAN_T5_583_MCAV_S16","012025_COL_SAN_T5_588_MCAV_S21","012025_COL_SAN_T5_589_MCAV_S22","012025_COL_SAN_T5_591_MCAV_S24","012025_COL_SAN_T5_593_MCAV_S26","012025_COL_SAN_T5_594_MCAV_S27","012025_COL_SAN_T5_595_MCAV_S28","032024_COL_SAN_T5_146_DLAB_S12","032024_COL_SAN_T5_148_DLAB_S13","032024_COL_SAN_T5_149_DLAB_S14","032024_COL_SAN_T5_158_DLAB_S15","032024_COL_SAN_T5_159_DLAB_S16","032024_COL_SAN_T5_143_DLAB_S40","032024_COL_SAN_T5_160_DLAB_S41","032024_COL_SAN_T5_161_DLAB_S42","012025_COL_SAN_T5_569_DLAB_S2","012025_COL_SAN_T5_570_DLAB_S3","012025_COL_SAN_T5_571_DLAB_S4","012025_COL_SAN_T5_575_DLAB_S8","012025_COL_SAN_T5_579_DLAB_S12","012025_COL_SAN_T5_586_DLAB_S19","032024_COL_SAN_T5_144_PSTR_S9","032024_COL_SAN_T5_147_PSTR_S10","032024_COL_SAN_T5_163_PSTR_S11c","032024_COL_SAN_T5_154_PSTR_S38","032024_COL_SAN_T5_162_PSTR_S39","012025_COL_SAN_T5_573_PSTR_S6","012025_COL_SAN_T5_576_PSTR_S9","012025_COL_SAN_T5_577_PSTR_S10","012025_COL_SAN_T5_582_PSTR_S15","012025_COL_SAN_T5_587_PSTR_S20","012025_COL_SAN_T5_590_PSTR_S23","012025_COL_SAN_T5_592_PSTR_S25"
"012025_COL_SAN_T5_596_OFAV_S29",0.733759328835359,0.536333471507706,0.779246458618598,0.645941724630513,0.725653387095265,0.534254690182479,0.459884418937875,0.641212400588853,0.61833517542296,0.583162047275589,0,0.896228480829339,0.835845903187468,0.86288287114872,0.877672648591257,0.870222241819879,0.904231132945915,0.873004165316713,0.833367328500368,0.913021002911553,0.723077453844143,0.795501003115242,0.651909281003169,0.761300979312612,0.783153127012687,0.718489783151738,0.752342164074118,0.829007286713498,0.675208986649062,0.831359270150721,0.699892248712737,0.73348496023021,0.797020439847904,0.745536759777438,0.868005459685322,0.888614598321287,0.795460449703576,0.919891164996635,0.867303104083203,0.897616184644349,0.877762395626898,0.906053054475328,0.92436188837898,0.888823878028969,0.959691847350542,0.746952132645704,0.529832469891883,0.709163587675619,0.855645453239027,0.885784760484781,0.569678626811722,0.576861541716633,0.656000155505007,0.645245102455335,0.740182511547259,0.500078047354862
"032024_COL_SAN_T5_128_MCAV_S1",0.968052560359855,0.948978522816024,0.947783680533698,0.784385993884581,0.952233425352135,0.893530758641761,0.937823542960794,0.9510781382086,0.941398124477714,0.945858272877045,0.896228480829339,0,0.532193885603899,0.604274720840831,0.793236374752824,0.218812689221814,0.128422708316586,0.768568156291301,0.708435235287774,0.520181335372693,0.826146105419377,0.624755725345005,0.755081326665564,0.598663078085945,0.560018530872769,0.764530554029935,0.703490577679959,0.306258557709539,0.755742270692906,0.669096617230929,0.887528504537314,0.73363372044191,0.720812737588855,0.741826781729339,0.853552219130393,0.468807738601804,0.545815391621125,0.575132799063362,0.576896333671372,0.490633609193911,0.521229211534184,0.481278196176285,0.560721984327216,0.649385021985783,0.993824923479825,0.679225562617701,0.808037389690711,0.810622808555798,0.577474661077243,0.519115043385809,0.896894972104246,0.793611997604852,0.7532078311785,0.901072634211446,0.618275432583457,0.846537269431425
"032024_COL_SAN_T5_129_MCAV_S2",0.946255104447131,0.928895671784306,0.925283738415164,0.642781114576742,0.918691474204925,0.819542904782574,0.899304315625631,0.918751848966566,0.913837315125005,0.914671062169554,0.835845903187468,0.532193885603899,0,0.509486750177362,0.749010181220641,0.533317372357746,0.588511433474383,0.674633640321698,0.639192961037099,0.532521435504867,0.737497641685137,0.445007527220319,0.673049997987441,0.602505008099521,0.422261238632713,0.736292406094686,0.557402364025661,0.489352723085682,0.671981794647429,0.601404592335266,0.799093985785415,0.667264004420217,0.651147470598313,0.632125662267544,0.852243902591205,0.458863626338111,0.412544553321291,0.624718241134489,0.536164724136393,0.549011945532961,0.535535285511105,0.517694244155114,0.632464679695999,0.65139987633693,0.990193575455657,0.528729555727252,0.684692927711479,0.753035896489997,0.552507457514666,0.521472605583436,0.82072531961961,0.665479213820412,0.643294369012588,0.88115218730212,0.507744352224573,0.761257111958827
"032024_COL_SAN_T5_130_MCAV_S37",0.968883151428623,0.928484947970554,0.953420129697535,0.727824034139085,0.921451962829822,0.872250356818373,0.913909032188224,0.942611377067058,0.933421460882069,0.923399202490944,0.86288287114872,0.604274720840831,0.509486750177362,0,0.767000475148121,0.609607554703473,0.643351031079328,0.690979688883595,0.635627275873007,0.59531956517398,0.750692127674384,0.502854500539442,0.719294938483338,0.605837155806134,0.552720664295949,0.750000129964901,0.5541487683987,0.522608694052483,0.707768606616678,0.668386766127785,0.782708438759475,0.685055844411492,0.706925754811066,0.708681078713169,0.896601982214478,0.542296562879423,0.469100334532716,0.669296828228752,0.568077188041444,0.563325638331355,0.564184698684627,0.600629846089315,0.692208380431787,0.670369523625502,0.990043182681648,0.563895832048613,0.755515952249384,0.72851406912225,0.570298497354117,0.566568034430238,0.818660383938937,0.714366469178264,0.631067148929695,0.878012561700937,0.655585406882249,0.795056776009579
"032024_COL_SAN_T5_131_MCAV_S3",0.949288309339727,0.93942950369353,0.940939442006657,0.821410846709893,0.933946921600123,0.883954699243432,0.917530467743585,0.943809540928095,0.94220406083644,0.921332292137661,0.877672648591257,0.793236374752824,0.749010181220641,0.767000475148121,0,0.769897586739066,0.808691596860463,0.739495337127649,0.695333368084029,0.865304832457823,0.791000178383264,0.695631022842766,0.743660322456265,0.731869620663158,0.758887896402146,0.770128988096272,0.780586644783296,0.741579011306854,0.778811594659277,0.697401871458925,0.82118597131357,0.810033273149658,0.741482953323989,0.771071687333432,0.820472348606152,0.837293757975472,0.782727253686939,0.880860030228669,0.805623627648,0.831981212408849,0.824507456354798,0.851453662266481,0.88189386644542,0.844535855945405,0.981680987940497,0.802250670401003,0.818117866624428,0.796069535583434,0.846163598674232,0.837155703197083,0.867592368495594,0.811459551623178,0.825240588985561,0.889059817614035,0.778613280706607,0.826947897850464
"032024_COL_SAN_T5_132_MCAV_S4",0.960540834755425,0.94124405070644,0.941669384821984,0.739602886200696,0.933791353449585,0.856676011980369,0.92508125303459,0.94147206788541,0.927242358303799,0.924253883253037,0.870222241819879,0.218812689221814,0.533317372357746,0.609607554703473,0.769897586739066,0,0.222535818936791,0.733713957294884,0.634132672648194,0.586748223579528,0.77793978255521,0.586735633876152,0.698988105802315,0.51633433205445,0.539672652470009,0.710918686446439,0.67352906157261,0.261639037850922,0.697569657799132,0.621760667961479,0.883594341102517,0.737360265527234,0.696880559895331,0.695391330954374,0.818919101601993,0.527630351035352,0.528687924527154,0.647109191443369,0.593807569642935,0.547117122006335,0.542323408313353,0.555505984895192,0.642292225047698,0.669888167756069,0.99156498445662,0.653270574566979,0.768568491886829,0.788051931094478,0.576379131172916,0.553846299803372,0.874965796193437,0.751400838134259,0.727696488754148,0.88064499901699,0.604229335736702,0.818089167361097
"032024_COL_SAN_T5_133_MCAV_S5",0.968281587437413,0.955786675266308,0.951133574324453,0.795866664324348,0.953357897795688,0.894738329927391,0.945793195975361,0.953921741200702,0.940555325917728,0.94693362524197,0.904231132945915,0.128422708316586,0.588511433474383,0.643351031079328,0.808691596860463,0.222535818936791,0,0.793869297408462,0.728275504368776,0.538622851240254,0.839411063641407,0.651900058372871,0.776199243003108,0.617858174389586,0.613553699306675,0.770504363393215,0.730682190811614,0.320936220014887,0.774803606406131,0.702102920601169,0.904365511652353,0.764740601384081,0.731562393628205,0.755188156926113,0.856586117880658,0.495014129789624,0.572129934792282,0.599843867379877,0.585884561007371,0.506437361382034,0.522715888262783,0.501072662149575,0.583824087961925,0.665968671838219,0.994087769767495,0.707676219684195,0.821869854427784,0.828454317470627,0.578877314315382,0.527438759333947,0.907293703255275,0.805213474223591,0.768414735142105,0.901531290750033,0.658450272715992,0.857269081360617
"032024_COL_SAN_T5_134_MCAV_S6",0.93416504536006,0.947477012586378,0.885500452476135,0.758670424025538,0.899690139612669,0.832236784043531,0.916304379490325,0.926246463628207,0.877822539485948,0.912081525017222,0.873004165316713,0.768568156291301,0.674633640321698,0.690979688883595,0.739495337127649,0.733713957294884,0.793869297408462,0,0.649782924379317,0.829298950211759,0.592962475893076,0.627314503195248,0.660287618087221,0.667389498651439,0.648443190870928,0.719011957823987,0.64905827033318,0.708678451863733,0.705649427950663,0.54458677508538,0.86210039474264,0.794060950108,0.802694248012184,0.739835260687175,0.804842834227953,0.808313479289995,0.723037215066011,0.856062199966359,0.797093599616414,0.816175265991702,0.819071977730428,0.826816957257335,0.860313955801335,0.873154314315486,0.988776975287323,0.739892436084993,0.773273325096744,0.800428968131264,0.803070828566935,0.802179598766245,0.861302596616231,0.761248043422339,0.782555513018785,0.862541925241685,0.739508587775761,0.786493091086454
"032024_COL_SAN_T5_136_MCAV_S7",0.925045812390593,0.926350929618208,0.926086165781415,0.765810851545154,0.898045167869691,0.780416417193838,0.909603065456135,0.90370707658737,0.927550955632685,0.895008475607173,0.833367328500368,0.708435235287774,0.639192961037099,0.635627275873007,0.695333368084029,0.634132672648194,0.728275504368776,0.649782924379317,0,0.80779530751972,0.701042542309563,0.625585791310517,0.652231723218525,0.687131249938213,0.612891835256203,0.761496012212068,0.673759828077631,0.691092607906442,0.518142015406387,0.527238758772916,0.859451789186325,0.73569656995788,0.664344823220472,0.643368542770107,0.882475991951964,0.783530401554499,0.656026331608976,0.839811374412556,0.80299180677849,0.780853314244086,0.772533665122457,0.802041346829753,0.843980359718538,0.776791473567078,0.988843900348893,0.725134478221844,0.752376744851026,0.785528677218404,0.782844915620259,0.782304125273357,0.852830286114433,0.757385474233533,0.780299958140317,0.851063998458522,0.669280056006971,0.798507021173813
"032024_COL_SAN_T5_150_MCAV_S8",0.97342243714176,0.960364257607011,0.966540451305498,0.77976363352946,0.955072510682852,0.906974420620853,0.94855025727025,0.964021374406025,0.954475228144036,0.959073373439814,0.913021002911553,0.520181335372693,0.532521435504867,0.59531956517398,0.865304832457823,0.586748223579528,0.538622851240254,0.829298950211759,0.80779530751972,0,0.878878967083705,0.611148685263287,0.814158866336394,0.746379910601957,0.568753911229919,0.809468349874752,0.722740838142868,0.538441321160636,0.821358599587452,0.768433967265086,0.889460596256783,0.770220932374632,0.749346284047042,0.773742060778628,0.899974985247266,0.260442643119258,0.507501281289335,0.409165540037634,0.424050655343421,0.340894925123297,0.403847786263072,0.250546886702032,0.413093730786083,0.602650066778016,0.994707379454259,0.65705980302966,0.824595497073693,0.854765027960817,0.4239871629629,0.317463409794185,0.899415707764998,0.803374161948571,0.737224614981873,0.936252532789533,0.640440102231997,0.867903712176006
"012025_COL_SAN_T5_574_MCAV_S7",0.90505551268054,0.855360821329386,0.818704796270036,0.661775450996315,0.860549568229666,0.740191246831851,0.795319714254101,0.831611867942976,0.808317796365561,0.827670004987134,0.723077453844143,0.826146105419377,0.737497641685137,0.750692127674384,0.791000178383264,0.77793978255521,0.839411063641407,0.592962475893076,0.701042542309563,0.878878967083705,0,0.643501537055179,0.544236952895033,0.576934621335162,0.669067485343196,0.634635184585118,0.625012670277204,0.73751290269861,0.593790552116125,0.632397976296573,0.746757805011795,0.75039827622136,0.792792679888117,0.729671700106899,0.737270310474863,0.851281473327281,0.735507148685579,0.896703943247773,0.819325869313228,0.858098108943126,0.843516906247058,0.874279560094951,0.898032196820015,0.881360416520376,0.974575505232127,0.67860318133485,0.614896872879034,0.701179564785537,0.821376516925976,0.857940949223607,0.686974837347888,0.635281097001491,0.724840988218621,0.72661964587342,0.758385445117476,0.612753797952873
"012025_COL_SAN_T5_578_MCAV_S11",0.929947669263188,0.898306419929715,0.89695148502035,0.560222735410131,0.902040057355308,0.753665680071186,0.868819391075602,0.89488398088691,0.89193529880098,0.88122795525472,0.795501003115242,0.624755725345005,0.445007527220319,0.502854500539442,0.695631022842766,0.586735633876152,0.651900058372871,0.627314503195248,0.625585791310517,0.611148685263287,0.643501537055179,0,0.592296607536807,0.519917000240471,0.446573151926441,0.618665939132212,0.528684307698949,0.502637864884327,0.639596475929279,0.558178471091953,0.744477787704265,0.636376937659715,0.59469244688126,0.586438123692909,0.790267693953878,0.555832050662138,0.41497630531573,0.692460461570296,0.558051989305942,0.595499118306584,0.557456332803958,0.593497889989423,0.700622607830439,0.671430680974781,0.988394298753426,0.457111159963186,0.597336420831846,0.705906903524223,0.553101558017469,0.554732289403293,0.724800699291423,0.575112259470833,0.559627604800938,0.837537880628108,0.530595640796271,0.685660604073773
"012025_COL_SAN_T5_581_MCAV_S14",0.880977382477366,0.825889852244751,0.842552276537222,0.576736193124448,0.873920680086894,0.6514819443882,0.749895145705635,0.821345363709613,0.80254272531101,0.788649265231323,0.651909281003169,0.755081326665564,0.673049997987441,0.719294938483338,0.743660322456265,0.698988105802315,0.776199243003108,0.660287618087221,0.652231723218525,0.814158866336394,0.544236952895033,0.592296607536807,0,0.579837394757167,0.564184558182003,0.579135186212187,0.512680855381351,0.651648797065183,0.526605846716409,0.535084505124138,0.772159925493132,0.680540415027638,0.678995671829329,0.651543475236713,0.707880220315732,0.771675570178302,0.656658992805156,0.844361304730732,0.732586502813078,0.787481548113946,0.747535122889749,0.802301522240169,0.845283595814934,0.792095400050211,0.980303127877624,0.615279868587372,0.538125882864173,0.694654939938149,0.751657805439527,0.76205588021824,0.687151081585106,0.542430347300228,0.611145862118067,0.763989599258663,0.640442306291693,0.602442550869785
"012025_COL_SAN_T5_583_MCAV_S16",0.942732222327767,0.858501494328174,0.868506939889431,0.642596160830923,0.886825146191134,0.789175204588285,0.834533438805513,0.879040295886502,0.855590686865873,0.8514972980349,0.761300979312612,0.598663078085945,0.602505008099521,0.605837155806134,0.731869620663158,0.51633433205445,0.617858174389586,0.667389498651439,0.687131249938213,0.746379910601957,0.576934621335162,0.519917000240471,0.579837394757167,0,0.546550368866543,0.633199735597685,0.55815583231648,0.458536480355445,0.64756070795165,0.63242366272387,0.697152568689947,0.624300460022658,0.696068652008171,0.660455024277898,0.749113747494737,0.684885700245938,0.556300147383601,0.779272783520481,0.668695427936886,0.706436191817472,0.683226855035639,0.724744405047561,0.779000691435484,0.758272752367826,0.985735907728606,0.563228124497692,0.631113522016034,0.667375246361973,0.660018683554296,0.694307508274168,0.715060111136352,0.577293514130289,0.553543116161882,0.803988673327337,0.618008568249959,0.658290192894633
