Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1	(16.0, 1.0)	(17.0, 97.0)	(18.0, 1483.0)	(19.0, 7563.0)	(20.0, 23120.0)	(21.0, 44172.0)	(22.0, 61838.0)	(23.0, 74090.0)	(24.0, 90745.0)	(25.0, 106461.0)	(26.0, 125313.0)	(27.0, 144237.0)	(28.0, 175670.0)	(29.0, 208514.0)	(30.0, 255133.0)	(31.0, 301525.0)	(32.0, 387309.0)	(33.0, 490078.0)	(34.0, 669687.0)	(35.0, 966705.0)	(36.0, 1623978.0)	(37.0, 2809046.0)	(38.0, 6484880.0)	(39.0, 29044301.0)	(40.0, 6332078.0)				
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2	(14.0, 26.0)	(15.0, 511.0)	(16.0, 4273.0)	(17.0, 18763.0)	(18.0, 47906.0)	(19.0, 78871.0)	(20.0, 110409.0)	(21.0, 125334.0)	(22.0, 131531.0)	(23.0, 135280.0)	(24.0, 150006.0)	(25.0, 161932.0)	(26.0, 180146.0)	(27.0, 196121.0)	(28.0, 226514.0)	(29.0, 255720.0)	(30.0, 300704.0)	(31.0, 347611.0)	(32.0, 433895.0)	(33.0, 541616.0)	(34.0, 731513.0)	(35.0, 1040749.0)	(36.0, 1739524.0)	(37.0, 3057450.0)	(38.0, 7002367.0)	(39.0, 27839991.0)	(40.0, 5569261.0)		
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1	(16.0, 4.0)	(17.0, 155.0)	(18.0, 2508.0)	(19.0, 12282.0)	(20.0, 37194.0)	(21.0, 69003.0)	(22.0, 94511.0)	(23.0, 112075.0)	(24.0, 135321.0)	(25.0, 156484.0)	(26.0, 185673.0)	(27.0, 213241.0)	(28.0, 259239.0)	(29.0, 307081.0)	(30.0, 372433.0)	(31.0, 443069.0)	(32.0, 558816.0)	(33.0, 703299.0)	(34.0, 952844.0)	(35.0, 1368162.0)	(36.0, 2282353.0)	(37.0, 3845760.0)	(38.0, 8730749.0)	(39.0, 45375060.0)	(40.0, 12141407.0)				
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2	(14.0, 26.0)	(15.0, 326.0)	(16.0, 2741.0)	(17.0, 11916.0)	(18.0, 33918.0)	(19.0, 66061.0)	(20.0, 106703.0)	(21.0, 128049.0)	(22.0, 136646.0)	(23.0, 143391.0)	(24.0, 163441.0)	(25.0, 179168.0)	(26.0, 203364.0)	(27.0, 223476.0)	(28.0, 263737.0)	(29.0, 300663.0)	(30.0, 356301.0)	(31.0, 414411.0)	(32.0, 519054.0)	(33.0, 646092.0)	(34.0, 871581.0)	(35.0, 1241855.0)	(36.0, 2092272.0)	(37.0, 3715471.0)	(38.0, 8904829.0)	(39.0, 46035932.0)	(40.0, 11597299.0)		
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1	(17.0, 98.0)	(18.0, 1618.0)	(19.0, 7970.0)	(20.0, 25718.0)	(21.0, 49953.0)	(22.0, 70830.0)	(23.0, 84728.0)	(24.0, 103896.0)	(25.0, 121806.0)	(26.0, 145886.0)	(27.0, 169851.0)	(28.0, 207793.0)	(29.0, 248303.0)	(30.0, 303519.0)	(31.0, 361710.0)	(32.0, 457744.0)	(33.0, 578015.0)	(34.0, 792899.0)	(35.0, 1148265.0)	(36.0, 1943643.0)	(37.0, 3402111.0)	(38.0, 8056764.0)	(39.0, 35488032.0)	(40.0, 6585662.0)					
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2	(13.0, 1.0)	(14.0, 20.0)	(15.0, 377.0)	(16.0, 3566.0)	(17.0, 15942.0)	(18.0, 42355.0)	(19.0, 72752.0)	(20.0, 107524.0)	(21.0, 123981.0)	(22.0, 130712.0)	(23.0, 135673.0)	(24.0, 153599.0)	(25.0, 167148.0)	(26.0, 188317.0)	(27.0, 208054.0)	(28.0, 244467.0)	(29.0, 276044.0)	(30.0, 324823.0)	(31.0, 378618.0)	(32.0, 473807.0)	(33.0, 595089.0)	(34.0, 802576.0)	(35.0, 1147727.0)	(36.0, 1946434.0)	(37.0, 3500773.0)	(38.0, 8327807.0)	(39.0, 34563511.0)	(40.0, 6425117.0)	
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1	(16.0, 2.0)	(17.0, 133.0)	(18.0, 1909.0)	(19.0, 9293.0)	(20.0, 27348.0)	(21.0, 50586.0)	(22.0, 69909.0)	(23.0, 82780.0)	(24.0, 101185.0)	(25.0, 117860.0)	(26.0, 138798.0)	(27.0, 159881.0)	(28.0, 193413.0)	(29.0, 227713.0)	(30.0, 276274.0)	(31.0, 325470.0)	(32.0, 410931.0)	(33.0, 512812.0)	(34.0, 690612.0)	(35.0, 980132.0)	(36.0, 1612141.0)	(37.0, 2695274.0)	(38.0, 6074052.0)	(39.0, 31114800.0)	(40.0, 8190811.0)				
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2	(13.0, 2.0)	(14.0, 16.0)	(15.0, 243.0)	(16.0, 1997.0)	(17.0, 8889.0)	(18.0, 25024.0)	(19.0, 46989.0)	(20.0, 74357.0)	(21.0, 88617.0)	(22.0, 94668.0)	(23.0, 100753.0)	(24.0, 116162.0)	(25.0, 128446.0)	(26.0, 145964.0)	(27.0, 161753.0)	(28.0, 190821.0)	(29.0, 217352.0)	(30.0, 256906.0)	(31.0, 299166.0)	(32.0, 372548.0)	(33.0, 461665.0)	(34.0, 616459.0)	(35.0, 869016.0)	(36.0, 1442416.0)	(37.0, 2537995.0)	(38.0, 5994770.0)	(39.0, 31387950.0)	(40.0, 8423175.0)	
032024_COL_SAN_T5_147_PSTR_S10_R1_001_val_1	(16.0, 4.0)	(17.0, 117.0)	(18.0, 2078.0)	(19.0, 10341.0)	(20.0, 28805.0)	(21.0, 53021.0)	(22.0, 72923.0)	(23.0, 86905.0)	(24.0, 106080.0)	(25.0, 122680.0)	(26.0, 144941.0)	(27.0, 165257.0)	(28.0, 201259.0)	(29.0, 236282.0)	(30.0, 287738.0)	(31.0, 339900.0)	(32.0, 428541.0)	(33.0, 537914.0)	(34.0, 726650.0)	(35.0, 1035759.0)	(36.0, 1708249.0)	(37.0, 2835256.0)	(38.0, 6250897.0)	(39.0, 33052456.0)	(40.0, 10195095.0)				
032024_COL_SAN_T5_147_PSTR_S10_R2_001_val_2	(13.0, 1.0)	(14.0, 20.0)	(15.0, 226.0)	(16.0, 1853.0)	(17.0, 8443.0)	(18.0, 24478.0)	(19.0, 46084.0)	(20.0, 71863.0)	(21.0, 86003.0)	(22.0, 93913.0)	(23.0, 100404.0)	(24.0, 114913.0)	(25.0, 127015.0)	(26.0, 145054.0)	(27.0, 158892.0)	(28.0, 189006.0)	(29.0, 215952.0)	(30.0, 256525.0)	(31.0, 298871.0)	(32.0, 373451.0)	(33.0, 466201.0)	(34.0, 628215.0)	(35.0, 894100.0)	(36.0, 1497227.0)	(37.0, 2630114.0)	(38.0, 6157483.0)	(39.0, 33609349.0)	(40.0, 10433492.0)	
032024_COL_SAN_T5_148_DLAB_S13_R1_001_val_1	(16.0, 3.0)	(17.0, 125.0)	(18.0, 1982.0)	(19.0, 8996.0)	(20.0, 26291.0)	(21.0, 49260.0)	(22.0, 67841.0)	(23.0, 80961.0)	(24.0, 98460.0)	(25.0, 113899.0)	(26.0, 135129.0)	(27.0, 155754.0)	(28.0, 189997.0)	(29.0, 224485.0)	(30.0, 270756.0)	(31.0, 320611.0)	(32.0, 404611.0)	(33.0, 508485.0)	(34.0, 685324.0)	(35.0, 980945.0)	(36.0, 1623826.0)	(37.0, 2738911.0)	(38.0, 6265565.0)	(39.0, 30910135.0)	(40.0, 7438304.0)				
032024_COL_SAN_T5_148_DLAB_S13_R2_001_val_2	(14.0, 17.0)	(15.0, 291.0)	(16.0, 2157.0)	(17.0, 9371.0)	(18.0, 26573.0)	(19.0, 49760.0)	(20.0, 77780.0)	(21.0, 92404.0)	(22.0, 98553.0)	(23.0, 103487.0)	(24.0, 118972.0)	(25.0, 131179.0)	(26.0, 150350.0)	(27.0, 164924.0)	(28.0, 194992.0)	(29.0, 221404.0)	(30.0, 261905.0)	(31.0, 304663.0)	(32.0, 377830.0)	(33.0, 468342.0)	(34.0, 627796.0)	(35.0, 886404.0)	(36.0, 1477429.0)	(37.0, 2621449.0)	(38.0, 6243423.0)	(39.0, 31150697.0)	(40.0, 7438504.0)		
032024_COL_SAN_T5_149_DLAB_S14_R1_001_val_1	(16.0, 3.0)	(17.0, 108.0)	(18.0, 2078.0)	(19.0, 10132.0)	(20.0, 30019.0)	(21.0, 55769.0)	(22.0, 77362.0)	(23.0, 92623.0)	(24.0, 113110.0)	(25.0, 132467.0)	(26.0, 156603.0)	(27.0, 179749.0)	(28.0, 218092.0)	(29.0, 257132.0)	(30.0, 309232.0)	(31.0, 365652.0)	(32.0, 457345.0)	(33.0, 571471.0)	(34.0, 765560.0)	(35.0, 1085447.0)	(36.0, 1779188.0)	(37.0, 2984072.0)	(38.0, 6768981.0)	(39.0, 34038027.0)	(40.0, 8466033.0)				
032024_COL_SAN_T5_149_DLAB_S14_R2_001_val_2	(13.0, 2.0)	(14.0, 27.0)	(15.0, 308.0)	(16.0, 2263.0)	(17.0, 10055.0)	(18.0, 28749.0)	(19.0, 54984.0)	(20.0, 87125.0)	(21.0, 102889.0)	(22.0, 110172.0)	(23.0, 118210.0)	(24.0, 134766.0)	(25.0, 150115.0)	(26.0, 171424.0)	(27.0, 189962.0)	(28.0, 223997.0)	(29.0, 256669.0)	(30.0, 302160.0)	(31.0, 352537.0)	(32.0, 434784.0)	(33.0, 540801.0)	(34.0, 722765.0)	(35.0, 1018154.0)	(36.0, 1685875.0)	(37.0, 2942070.0)	(38.0, 6952901.0)	(39.0, 33987249.0)	(40.0, 8335242.0)	
032024_COL_SAN_T5_150_MCAV_S8_R1_001_val_1	(16.0, 2.0)	(17.0, 150.0)	(18.0, 2577.0)	(19.0, 12501.0)	(20.0, 37075.0)	(21.0, 69818.0)	(22.0, 95748.0)	(23.0, 113579.0)	(24.0, 139356.0)	(25.0, 161007.0)	(26.0, 189957.0)	(27.0, 217758.0)	(28.0, 265188.0)	(29.0, 313397.0)	(30.0, 381543.0)	(31.0, 451730.0)	(32.0, 569545.0)	(33.0, 717156.0)	(34.0, 975232.0)	(35.0, 1394613.0)	(36.0, 2311769.0)	(37.0, 3921788.0)	(38.0, 8936117.0)	(39.0, 42758927.0)	(40.0, 10034888.0)				
