Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2	(20, 29750.0)	(25, 41138.0)	(30, 24460.0)	(35, 26050.0)	(40, 31057.0)	(45, 39428.0)	(50, 50101.0)	(55, 64540.0)	(60, 82717.0)	(65, 106951.0)	(70, 138329.0)	(75, 180512.0)	(80, 232781.0)	(85, 300975.0)	(90, 387126.0)	(95, 495878.0)	(100, 630620.0)	(105, 795449.0)	(110, 985700.0)	(115, 1199336.0)	(120, 1435548.0)	(125, 1698435.0)	(130, 1959136.0)	(135, 2220890.0)	(140, 2488372.0)	(145, 8596088.0)	(150, 54117356.0)
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1	(20, 4211.0)	(25, 12064.0)	(30, 9731.0)	(35, 10859.0)	(40, 12238.0)	(45, 13669.0)	(50, 15676.0)	(55, 18176.0)	(60, 21084.0)	(65, 24436.0)	(70, 29453.0)	(75, 36220.0)	(80, 45186.0)	(85, 56505.0)	(90, 72930.0)	(95, 94700.0)	(100, 122600.0)	(105, 158511.0)	(110, 202608.0)	(115, 256555.0)	(120, 319004.0)	(125, 391755.0)	(130, 474192.0)	(135, 574874.0)	(140, 703519.0)	(145, 6344684.0)	(150, 50331374.0)
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2	(20, 28497.0)	(25, 40430.0)	(30, 20194.0)	(35, 17927.0)	(40, 18047.0)	(45, 19378.0)	(50, 21313.0)	(55, 24159.0)	(60, 27645.0)	(65, 32009.0)	(70, 37514.0)	(75, 44559.0)	(80, 54115.0)	(85, 65871.0)	(90, 82277.0)	(95, 104106.0)	(100, 131526.0)	(105, 166846.0)	(110, 211447.0)	(115, 264651.0)	(120, 327207.0)	(125, 400129.0)	(130, 483394.0)	(135, 588147.0)	(140, 727099.0)	(145, 6326248.0)	(150, 50092079.0)
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1	(20, 4927.0)	(25, 14341.0)	(30, 13009.0)	(35, 16533.0)	(40, 21482.0)	(45, 27562.0)	(50, 34830.0)	(55, 44575.0)	(60, 57445.0)	(65, 74410.0)	(70, 95904.0)	(75, 124898.0)	(80, 162119.0)	(85, 208269.0)	(90, 264801.0)	(95, 335604.0)	(100, 420870.0)	(105, 519036.0)	(110, 632503.0)	(115, 754428.0)	(120, 885339.0)	(125, 1024614.0)	(130, 1160046.0)	(135, 1295643.0)	(140, 1439615.0)	(145, 5727352.0)	(150, 38703964.0)
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2	(20, 22175.0)	(25, 30820.0)	(30, 19497.0)	(35, 20669.0)	(40, 24658.0)	(45, 30659.0)	(50, 38191.0)	(55, 48406.0)	(60, 61395.0)	(65, 78888.0)	(70, 100515.0)	(75, 130084.0)	(80, 167495.0)	(85, 214412.0)	(90, 270367.0)	(95, 341064.0)	(100, 425743.0)	(105, 523882.0)	(110, 635800.0)	(115, 757307.0)	(120, 887345.0)	(125, 1026907.0)	(130, 1161552.0)	(135, 1299052.0)	(140, 1450896.0)	(145, 5702300.0)	(150, 38594040.0)
032024_COL_SAN_T5_147_PSTR_S10_R1_001_val_1	(20, 5194.0)	(25, 15374.0)	(30, 13680.0)	(35, 18453.0)	(40, 25599.0)	(45, 35156.0)	(50, 49212.0)	(55, 69201.0)	(60, 96811.0)	(65, 136260.0)	(70, 190683.0)	(75, 262730.0)	(80, 359582.0)	(85, 480527.0)	(90, 630364.0)	(95, 810319.0)	(100, 1020885.0)	(105, 1251025.0)	(110, 1498524.0)	(115, 1741588.0)	(120, 1971172.0)	(125, 2179175.0)	(130, 2348363.0)	(135, 2475284.0)	(140, 2556316.0)	(145, 6050386.0)	(150, 32337285.0)
032024_COL_SAN_T5_147_PSTR_S10_R2_001_val_2	(20, 22883.0)	(25, 31564.0)	(30, 19934.0)	(35, 22384.0)	(40, 28232.0)	(45, 37693.0)	(50, 51856.0)	(55, 71532.0)	(60, 99779.0)	(65, 139670.0)	(70, 194090.0)	(75, 266871.0)	(80, 363389.0)	(85, 484595.0)	(90, 634203.0)	(95, 813821.0)	(100, 1023413.0)	(105, 1252526.0)	(110, 1498314.0)	(115, 1741106.0)	(120, 1968355.0)	(125, 2176475.0)	(130, 2345429.0)	(135, 2474917.0)	(140, 2561087.0)	(145, 6048097.0)	(150, 32256933.0)
032024_COL_SAN_T5_148_DLAB_S13_R1_001_val_1	(20, 4736.0)	(25, 13502.0)	(30, 11894.0)	(35, 15209.0)	(40, 19769.0)	(45, 25274.0)	(50, 31957.0)	(55, 40541.0)	(60, 50831.0)	(65, 65352.0)	(70, 83288.0)	(75, 105662.0)	(80, 133944.0)	(85, 169441.0)	(90, 212590.0)	(95, 265329.0)	(100, 329388.0)	(105, 405478.0)	(110, 496747.0)	(115, 597055.0)	(120, 710968.0)	(125, 842049.0)	(130, 977777.0)	(135, 1124830.0)	(140, 1293279.0)	(145, 5732642.0)	(150, 39541124.0)
032024_COL_SAN_T5_148_DLAB_S13_R2_001_val_2	(20, 22648.0)	(25, 31019.0)	(30, 18834.0)	(35, 19537.0)	(40, 23262.0)	(45, 28580.0)	(50, 35302.0)	(55, 44402.0)	(60, 55182.0)	(65, 70056.0)	(70, 88378.0)	(75, 111088.0)	(80, 139715.0)	(85, 175232.0)	(90, 218376.0)	(95, 271453.0)	(100, 334684.0)	(105, 410470.0)	(110, 500580.0)	(115, 600276.0)	(120, 713983.0)	(125, 844481.0)	(130, 980152.0)	(135, 1129118.0)	(140, 1304691.0)	(145, 5713435.0)	(150, 39415722.0)
032024_COL_SAN_T5_149_DLAB_S14_R1_001_val_1	(20, 5529.0)	(25, 15467.0)	(30, 13807.0)	(35, 17622.0)	(40, 23518.0)	(45, 30280.0)	(50, 37465.0)	(55, 47857.0)	(60, 60480.0)	(65, 75798.0)	(70, 95628.0)	(75, 120342.0)	(80, 150691.0)	(85, 187926.0)	(90, 235630.0)	(95, 288765.0)	(100, 355727.0)	(105, 434386.0)	(110, 523602.0)	(115, 622989.0)	(120, 735385.0)	(125, 853206.0)	(130, 979265.0)	(135, 1109974.0)	(140, 1263061.0)	(145, 6202801.0)	(150, 44429054.0)
032024_COL_SAN_T5_149_DLAB_S14_R2_001_val_2	(20, 24534.0)	(25, 33607.0)	(30, 20591.0)	(35, 22167.0)	(40, 26422.0)	(45, 33418.0)	(50, 41276.0)	(55, 51599.0)	(60, 65049.0)	(65, 81053.0)	(70, 101170.0)	(75, 127278.0)	(80, 158205.0)	(85, 196159.0)	(90, 243931.0)	(95, 298219.0)	(100, 363327.0)	(105, 441806.0)	(110, 530479.0)	(115, 629299.0)	(120, 740592.0)	(125, 858029.0)	(130, 984472.0)	(135, 1116868.0)	(140, 1277921.0)	(145, 6206474.0)	(150, 44242310.0)
032024_COL_SAN_T5_150_MCAV_S8_R1_001_val_1	(20, 6080.0)	(25, 17921.0)	(30, 14068.0)	(35, 15481.0)	(40, 18192.0)	(45, 21245.0)	(50, 25342.0)	(55, 31235.0)	(60, 39209.0)	(65, 50349.0)	(70, 66635.0)	(75, 89026.0)	(80, 120490.0)	(85, 162954.0)	(90, 222490.0)	(95, 300460.0)	(100, 403500.0)	(105, 523623.0)	(110, 670684.0)	(115, 836335.0)	(120, 1020817.0)	(125, 1212414.0)	(130, 1414382.0)	(135, 1616887.0)	(140, 1830584.0)	(145, 7961894.0)	(150, 55379124.0)
032024_COL_SAN_T5_150_MCAV_S8_R2_001_val_2	(20, 29516.0)	(25, 40479.0)	(30, 21894.0)	(35, 20517.0)	(40, 21625.0)	(45, 24225.0)	(50, 28598.0)	(55, 34863.0)	(60, 43496.0)	(65, 54958.0)	(70, 71937.0)	(75, 94514.0)	(80, 126323.0)	(85, 169374.0)	(90, 228877.0)	(95, 306835.0)	(100, 409411.0)	(105, 528700.0)	(110, 675618.0)	(115, 840658.0)	(120, 1025146.0)	(125, 1216175.0)	(130, 1419080.0)	(135, 1623040.0)	(140, 1845544.0)	(145, 7922214.0)	(150, 55247804.0)
032024_COL_SAN_T5_154_PSTR_S38_R1_001_val_1	(20, 5249.0)	(25, 16047.0)	(30, 21868.0)	(35, 39638.0)	(40, 61982.0)	(45, 91142.0)	(50, 127228.0)	(55, 174330.0)	(60, 234329.0)	(65, 312433.0)	(70, 414418.0)	(75, 545183.0)	(80, 702548.0)	(85, 899232.0)	(90, 1137019.0)	(95, 1405050.0)	(100, 1725346.0)	(105, 2057826.0)	(110, 2435912.0)	(115, 2806169.0)	(120, 3153851.0)	(125, 3476789.0)	(130, 3725856.0)	(135, 3893609.0)	(140, 3950905.0)	(145, 6501861.0)	(150, 24382995.0)
032024_COL_SAN_T5_154_PSTR_S38_R2_001_val_2	(20, 16975.0)	(25, 24694.0)	(30, 24890.0)	(35, 41036.0)	(40, 62633.0)	(45, 91593.0)	(50, 127875.0)	(55, 174800.0)	(60, 234788.0)	(65, 313266.0)	(70, 415262.0)	(75, 546186.0)	(80, 703695.0)	(85, 900786.0)	(90, 1138737.0)	(95, 1405677.0)	(100, 1725663.0)	(105, 2055984.0)	(110, 2432747.0)	(115, 2801594.0)	(120, 3148724.0)	(125, 3471052.0)	(130, 3719144.0)	(135, 3891382.0)	(140, 3957681.0)	(145, 6518604.0)	(150, 24353347.0)
032024_COL_SAN_T5_158_DLAB_S15_R1_001_val_1	(20, 3769.0)	(25, 11063.0)	(30, 8863.0)	(35, 9966.0)	(40, 11565.0)	(45, 13893.0)	(50, 16723.0)	(55, 19916.0)	(60, 25046.0)	(65, 31813.0)	(70, 41094.0)	(75, 53458.0)	(80, 70266.0)	(85, 92516.0)	(90, 122864.0)	(95, 161186.0)	(100, 212312.0)	(105, 273272.0)	(110, 351664.0)	(115, 444859.0)	(120, 551811.0)	(125, 677172.0)	(130, 813663.0)	(135, 964801.0)	(140, 1130667.0)	(145, 5244373.0)	(150, 36800436.0)
032024_COL_SAN_T5_158_DLAB_S15_R2_001_val_2	(20, 19670.0)	(25, 26632.0)	(30, 14677.0)	(35, 13787.0)	(40, 14390.0)	(45, 16699.0)	(50, 19515.0)	(55, 22940.0)	(60, 28319.0)	(65, 35233.0)	(70, 44696.0)	(75, 57568.0)	(80, 74162.0)	(85, 96672.0)	(90, 126679.0)	(95, 165335.0)	(100, 215916.0)	(105, 276813.0)	(110, 354964.0)	(115, 447411.0)	(120, 554132.0)	(125, 679254.0)	(130, 816236.0)	(135, 968535.0)	(140, 1139954.0)	(145, 5217786.0)	(150, 36711056.0)
032024_COL_SAN_T5_159_DLAB_S16_R1_001_val_1	(20, 4336.0)	(25, 12503.0)	(30, 10353.0)	(35, 11916.0)	(40, 13754.0)	(45, 16743.0)	(50, 20084.0)	(55, 25082.0)	(60, 31407.0)	(65, 41138.0)	(70, 53189.0)	(75, 70913.0)	(80, 95975.0)	(85, 128310.0)	(90, 171687.0)	(95, 227001.0)	(100, 298538.0)	(105, 380388.0)	(110, 481536.0)	(115, 594227.0)	(120, 717044.0)	(125, 849990.0)	(130, 982551.0)	(135, 1124984.0)	(140, 1271216.0)	(145, 5974202.0)	(150, 42812948.0)
032024_COL_SAN_T5_159_DLAB_S16_R2_001_val_2	(20, 23162.0)	(25, 31522.0)	(30, 17355.0)	(35, 16342.0)	(40, 17314.0)	(45, 19744.0)	(50, 23833.0)	(55, 29107.0)	(60, 36032.0)	(65, 46170.0)	(70, 58770.0)	(75, 76729.0)	(80, 102115.0)	(85, 134543.0)	(90, 178166.0)	(95, 233273.0)	(100, 304082.0)	(105, 385894.0)	(110, 486641.0)	(115, 598460.0)	(120, 720557.0)	(125, 854374.0)	(130, 987092.0)	(135, 1132523.0)	(140, 1286468.0)	(145, 6005493.0)	(150, 42616254.0)
032024_COL_SAN_T5_160_DLAB_S41_R1_001_val_1	(20, 7697.0)	(25, 24146.0)	(30, 29396.0)	(35, 48853.0)	(40, 71591.0)	(45, 100740.0)	(50, 138750.0)	(55, 185400.0)	(60, 244744.0)	(65, 322469.0)	(70, 424600.0)	(75, 557776.0)	(80, 716102.0)	(85, 914566.0)	(90, 1151495.0)	(95, 1419388.0)	(100, 1726625.0)	(105, 2055644.0)	(110, 2394434.0)	(115, 2721982.0)	(120, 3017680.0)	(125, 3276045.0)	(130, 3464846.0)	(135, 3600259.0)	(140, 3649468.0)	(145, 8238725.0)	(150, 42280802.0)
032024_COL_SAN_T5_160_DLAB_S41_R2_001_val_2	(20, 31327.0)	(25, 45310.0)	(30, 37286.0)	(35, 53052.0)	(40, 74733.0)	(45, 103660.0)	(50, 141584.0)	(55, 188203.0)	(60, 247457.0)	(65, 325785.0)	(70, 427760.0)	(75, 561493.0)	(80, 719796.0)	(85, 918034.0)	(90, 1154480.0)	(95, 1421362.0)	(100, 1727965.0)	(105, 2054077.0)	(110, 2391661.0)	(115, 2717833.0)	(120, 3011372.0)	(125, 3271211.0)	(130, 3460067.0)	(135, 3598150.0)	(140, 3656421.0)	(145, 8237795.0)	(150, 42206349.0)
