Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
032024_COL_SAN_T5_147_PSTR_S10_R2_001_val_2	(1.0, 72.18268021932309)	(2.0, 14.971608811936276)	(3.0, 3.812170796824104)	(4.0, 1.4452739738706797)	(5.0, 0.8549577403081003)	(6.0, 0.5841188578568105)	(7.0, 0.4417220237325037)	(8.0, 0.3310823949754633)	(9.0, 0.2923291637536739)	('>10', 2.820335022073962)	('>50', 0.7465309891413348)	('>100', 1.042624595565941)	('>500', 0.2266153499791005)	('>1k', 0.18540339896538144)	('>5k', 0.022223974533920044)	('>10k+', 0.04032268715970329)
032024_COL_SAN_T5_148_DLAB_S13_R1_001_val_1	(1.0, 75.7621411268486)	(2.0, 13.055470377587094)	(3.0, 2.8964359714769725)	(4.0, 1.117934080135777)	(5.0, 0.5724559870710859)	(6.0, 0.4135676763617328)	(7.0, 0.32818481640009806)	(8.0, 0.2516211158218207)	(9.0, 0.2258805311828432)	('>10', 2.6561280583898896)	('>50', 0.7730444136723076)	('>100', 1.1823576010531462)	('>500', 0.3554801670763811)	('>1k', 0.33820328216674206)	('>5k', 0.040275739311765424)	('>10k+', 0.030819055443705147)
032024_COL_SAN_T5_148_DLAB_S13_R2_001_val_2	(1.0, 74.90294329666375)	(2.0, 13.752310705846222)	(3.0, 2.919231787010911)	(4.0, 1.0787574417482058)	(5.0, 0.6140506066795364)	(6.0, 0.38851554756420614)	(7.0, 0.35898057843860287)	(8.0, 0.249535867281034)	(9.0, 0.24278598959752984)	('>10', 2.7395205813580956)	('>50', 0.7940873827517557)	('>100', 1.1666022204080584)	('>500', 0.3591328070114225)	('>1k', 0.31354124293458424)	('>5k', 0.017590382358929537)	('>10k+', 0.10241356234704578)
032024_COL_SAN_T5_149_DLAB_S14_R1_001_val_1	(1.0, 76.3727441108932)	(2.0, 13.31591855026616)	(3.0, 2.8650237569589967)	(4.0, 1.1683033318303666)	(5.0, 0.629950060450673)	(6.0, 0.45619701510533184)	(7.0, 0.3240072722302971)	(8.0, 0.24945701845883747)	(9.0, 0.2077319325562679)	('>10', 2.2454718274908645)	('>50', 0.5292702317042272)	('>100', 0.8068153348163468)	('>500', 0.28358036996094566)	('>1k', 0.19927695505135354)	('>5k', 0.05289969540858001)	('>10k+', 0.2933525368175866)
032024_COL_SAN_T5_149_DLAB_S14_R2_001_val_2	(1.0, 75.80728338141876)	(2.0, 13.701212698785026)	(3.0, 3.0837232074229126)	(4.0, 1.1003905344921707)	(5.0, 0.6556468300400081)	(6.0, 0.4550781282440152)	(7.0, 0.332890443297787)	(8.0, 0.2823100114053641)	(9.0, 0.19769236794983008)	('>10', 2.2398246029932025)	('>50', 0.4933261515260569)	('>100', 0.8412957459049141)	('>500', 0.23397072566690982)	('>1k', 0.17896305238395735)	('>5k', 0.04928017386017558)	('>10k+', 0.34711194460898387)
032024_COL_SAN_T5_150_MCAV_S8_R1_001_val_1	(1.0, 70.96802876698847)	(2.0, 15.037462081622591)	(3.0, 4.5065195453253954)	(4.0, 1.9345698421790316)	(5.0, 1.1551640702006916)	(6.0, 0.7193602695441198)	(7.0, 0.5169018206204862)	(8.0, 0.4172122677684042)	(9.0, 0.3644398204635228)	('>10', 2.657904744593701)	('>50', 0.5132452207506037)	('>100', 0.7575818467775094)	('>500', 0.20594127260711687)	('>1k', 0.23356036580387446)	('>5k', 0.012108064754470915)	('>10k+', 0.0)
032024_COL_SAN_T5_150_MCAV_S8_R2_001_val_2	(1.0, 70.00584322116697)	(2.0, 15.379708031688219)	(3.0, 4.64165515948734)	(4.0, 2.0766996642332525)	(5.0, 1.1253761629263739)	(6.0, 0.733803991510921)	(7.0, 0.5345035080536826)	(8.0, 0.4109060879927619)	(9.0, 0.3431616749151006)	('>10', 2.8798974531673474)	('>50', 0.5357600074454939)	('>100', 0.7865909065310854)	('>500', 0.24107176006658315)	('>1k', 0.228327266236006)	('>5k', 0.02428378563476951)	('>10k+', 0.05241131894407453)
032024_COL_SAN_T5_154_PSTR_S38_R1_001_val_1	(1.0, 57.17151070274914)	(2.0, 23.81427849362598)	(3.0, 8.40079775077059)	(4.0, 3.074622033143517)	(5.0, 1.3106395394702943)	(6.0, 0.7151005039380508)	(7.0, 0.44554874063391076)	(8.0, 0.34116052114008005)	(9.0, 0.23261271922389448)	('>10', 2.190555503105393)	('>50', 0.503395159869983)	('>100', 1.026172262017784)	('>500', 0.2804270327052141)	('>1k', 0.24924119375173778)	('>5k', 0.0574410406364457)	('>10k+', 0.1864968032178714)
032024_COL_SAN_T5_154_PSTR_S38_R2_001_val_2	(1.0, 55.22455339579233)	(2.0, 24.741039644014144)	(3.0, 9.026843423899113)	(4.0, 3.149878537980169)	(5.0, 1.310508297723159)	(6.0, 0.7737849756471781)	(7.0, 0.4734106959810455)	(8.0, 0.340129206353061)	(9.0, 0.2964769912976527)	('>10', 2.25477809188301)	('>50', 0.5547549816808851)	('>100', 1.0704304647660017)	('>500', 0.29540037472836295)	('>1k', 0.26279696339447334)	('>5k', 0.02374784952081385)	('>10k+', 0.20146610533866743)
032024_COL_SAN_T5_158_DLAB_S15_R1_001_val_1	(1.0, 76.80626895868409)	(2.0, 13.139772305255121)	(3.0, 2.8823513351753447)	(4.0, 1.0625930701893038)	(5.0, 0.5972925940918641)	(6.0, 0.42795501524055857)	(7.0, 0.3263173666567216)	(8.0, 0.26253786314188166)	(9.0, 0.2106579471423434)	('>10', 2.1331345412165232)	('>50', 0.6400139394247722)	('>100', 1.1776735183118925)	('>500', 0.23625066608827205)	('>1k', 0.09718087938143985)	('>5k', 0.0)	('>10k+', 0.0)
