Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2		25.540716345541284	40.0	146.11102882677167	151	18.181818181818183	76.937821
032024_COL_SAN_T5_139_OFAV_S17_R1_001	1.7745386700884602						
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1		14.478305206090852	39.0	148.4401612504031	151	18.181818181818183	57.195764
032024_COL_SAN_T5_139_OFAV_S17_R2_001	1.9844365008044036						
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2		14.853407772710653	39.0	148.16037867769367	151	18.181818181818183	57.195764
032024_COL_SAN_T5_140_OFAV_S18_R1_001	1.7880705759084257						
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1		14.496531507597382	39.0	148.4187444638781	151	18.181818181818183	54.554209
032024_COL_SAN_T5_140_OFAV_S18_R2_001	1.9798796647480041						
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2		14.859369687058177	40.0	148.16360053905282	151	18.181818181818183	54.554209
032024_COL_SAN_T5_141_OFAV_S19_R1_001	1.9166387854533273						
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1		12.869582985679244	40.0	148.22354841823665	151	18.181818181818183	50.428024
032024_COL_SAN_T5_141_OFAV_S19_R2_001	2.1556792602912176						
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2		13.152626606830125	40.0	147.90023906151865	151	18.181818181818183	50.428024
032024_COL_SAN_T5_143_DLAB_S40_R1_001	4.275360975374504						
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1		22.320663804376295	39.0	144.63875457745783	151	18.181818181818183	78.358723
032024_COL_SAN_T5_143_DLAB_S40_R2_001	4.401130298589535						
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2		22.81490642344474	39.0	144.47214434569077	151	18.181818181818183	78.358723
032024_COL_SAN_T5_144_PSTR_S9_R1_001	1.537779298976039						
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1		15.693942845932725	39.0	148.80362760698404	151	18.181818181818183	60.356814
032024_COL_SAN_T5_144_PSTR_S9_R2_001	1.7565637053151613						
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2		16.036108683657574	39.0	148.5027585949119	151	18.181818181818183	60.356814
032024_COL_SAN_T5_146_DLAB_S12_R1_001	4.049002533729152						
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1		14.528970132537182	40.0	144.98444114108287	151	18.181818181818183	54.064119
032024_COL_SAN_T5_146_DLAB_S12_R2_001	4.196200913155344						
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2		14.904247307196968	41.0	144.78827608381079	151	18.181818181818183	54.064119
032024_COL_SAN_T5_147_PSTR_S10_R1_001	7.658818983647792						
032024_COL_SAN_T5_147_PSTR_S10_R1_001_val_1		17.431818883971346	40.0	139.50600238980107	151	18.181818181818183	58.629148
032024_COL_SAN_T5_147_PSTR_S10_R2_001	7.770802184932152						
032024_COL_SAN_T5_147_PSTR_S10_R2_001_val_2		18.11595183477685	40.0	139.35982794769592	151	18.181818181818183	58.629148
032024_COL_SAN_T5_148_DLAB_S13_R1_001	3.446074571929083						
032024_COL_SAN_T5_148_DLAB_S13_R1_001_val_1		16.01813681907595	40.0	145.89803131128443	151	18.181818181818183	53.300656
